case_id,id,name,decile_score,decile_score_level,priors_count,c_charge_degree,juv_fel_count,family_criminality,criminal_attitude,criminal_associates,financial_problems,substance_abuse,noncompliance,social_environment,vocational,priors_count_level,c_charge_degree_level,juv_fel_count_level,family_criminality_level,criminal_attitude_level,criminal_associates_level,financial_problems_level,substance_abuse_level,noncompliance_level,social_environment_level,vocational_level,priors_count_importance_level,c_charge_degree_importance_level,juv_fel_count_importance_level,family_criminality_importance_level,criminal_attitude_importance_level,criminal_associates_importance_level,financial_problems_importance_level,substance_abuse_importance_level,noncompliance_importance_level,social_environment_importance_level,vocational_importance_level
10007,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,-1,1,1,0,1,0,1
10235,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,-1,1,1,0
10270,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,-1,-1,1,1,0,1,0
10388,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,-1,1,1,1
10390,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,-1,0,1,1,1,1,0
10811,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-1,0,1,1,1,1,1
10925,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,-1,-1,1,-1,0,1,0
10964,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1
10969,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
10992,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,-1,1,0,1
1216,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-1,0,-1,1,1,-1,0,0
1254,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1
1353,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,-1,-1,0,0,1,0,0,0,-1,0,1,1,1,0,1
142,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,-1,1,1,1,1,1,1
